post_id,external_post_id,full_date,full_timestamp,hour_of_day,day_name,day_of_week,week_of_year,month_of_year,calendar_year,platform_name,page_name,industry,is_competitor,content_type,content_category,reach,impressions,likes,comments,shares,saves,engagement_count,engagement_rate,virality_score,post_url,caption,loaded_comment_count,positive_comment_count,neutral_comment_count,negative_comment_count,sentiment_ratio
623,y8Z0fUFnm0o,2025-01-11,2025-01-11 12:01:16+00:00,19,Saturday,6,2,1,2025,youtube,Phạm Thanh Sơn Official,F&B,False,video,video,683,683,6,0,0,0,6,0.8785,0.0,,Top 10 thương hiệu cà phê Việt Nam,0,0,0,0,
232,k7bCGkN6rhA,2025-04-02,2025-04-02 03:41:36+00:00,10,Wednesday,3,14,4,2025,youtube,HTV - Đài Hà Nội,F&B,False,video,video,689,689,11,0,0,0,11,1.5965,0.0,,"The Coffee House ""bán mình"" với 270 tỷ đồng có rẻ? | Cafe Sáng | FM96",0,0,0,0,
231,VPnhA7QljCw,2025-05-13,2025-05-13 12:00:58+00:00,19,Tuesday,2,20,5,2025,youtube,HTC Cuộc sống mà,F&B,False,video,video,12,12,0,0,0,0,0,0.0,0.0,,"Món ăn ngon,trà sữa bơ the coffee house ,ngon tuyệt",0,0,0,0,
620,LOJUizz5-zQ,2025-05-24,2025-05-24 04:38:54+00:00,11,Saturday,6,21,5,2025,youtube,TIN VietNam ,F&B,False,video,video,179956,179956,3225,442,0,0,3667,2.0377,0.0,,Khách hàng ngỡ ngàng khi The Coffee House giờ đây lock hết ổ điện #hellovietnam #tintuc,50,10,38,2,20.0
619,2mZD113YRcs,2025-06-28,2025-06-27 17:30:02+00:00,0,Saturday,6,26,6,2025,youtube,Seeds - The Coffee House,F&B,False,video,video,23,23,1,0,0,0,1,4.3478,0.0,,"Affogato, Vietnamese Coffee or Iced Latte? What’s Your Pick? ☕🔥 #SeedsCoffeeHouse",0,0,0,0,
618,M8L9cX5Q_bI,2025-07-17,2025-07-17 13:00:41+00:00,20,Thursday,4,29,7,2025,youtube,AEON MALL Hai Phong Le Chan,F&B,False,video,video,7254,7254,37,1,0,0,38,0.5238,0.0,,"Giải nhiệt mùa hè với KOI Thé, Phúc Long và The Coffee House tại #aeonmallhaiphonglechan 🥤🌞",1,0,1,0,0.0
617,jkqGFZm9BM0,2025-07-25,2025-07-25 03:00:46+00:00,10,Friday,5,30,7,2025,youtube,Horeca Việt Nam,F&B,False,video,video,274,274,3,0,0,0,3,1.0949,0.0,,Công thức làm Trà Sữa Oolong Nướng Trân Châu Trắng chuẩn vị The Coffee House #horecavn #milktea,0,0,0,0,
230,hy5x0amQEJc,2025-07-29,2025-07-29 09:19:23+00:00,16,Tuesday,2,31,7,2025,youtube,Caleb Niven - Topic,F&B,False,video,video,62,62,4,0,0,0,4,6.4516,0.0,,The Coffee House,0,0,0,0,
614,nIDgsyx7i5o,2025-08-04,2025-08-04 06:10:33+00:00,13,Monday,1,32,8,2025,youtube,Où m'envoler ?,F&B,False,video,video,1055,1055,5,0,0,0,5,0.4739,0.0,,🥐 J’ai goûté le croissant le plus bizarre du Vietnam… et j’ai regretté !,0,0,0,0,
615,iY1gIXGis1Q,2025-08-04,2025-08-04 06:03:34+00:00,13,Monday,1,32,8,2025,youtube,Where Can I FLY,F&B,False,video,video,1108,1108,8,2,0,0,10,0.9025,0.0,,❌ I Tried the Weirdest Croissant in Vietnam – Salted Egg & Mystery Fluff?!,1,0,1,0,0.0
613,joDlOlT8skI,2025-09-05,2025-09-04 20:50:56+00:00,3,Friday,5,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,8,8,0,0,0,0,0,0.0,0.0,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @3",0,0,0,0,
611,BkIjNM_kQLI,2025-09-06,2025-09-05 20:34:44+00:00,3,Saturday,6,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,206,206,0,0,0,0,0,0.0,0.0,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @5",0,0,0,0,
612,o07kSEUqxco,2025-09-06,2025-09-05 20:35:59+00:00,3,Saturday,6,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,130,130,0,0,0,0,0,0.0,0.0,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @7",0,0,0,0,
65,GIRwa6WyEKc,2025-09-07,2025-09-06 20:42:38+00:00,3,Sunday,7,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,64,64,0,0,0,0,0,0.0,0.0,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @11",0,0,0,0,
228,LQF2Hsj0d2U,2025-09-07,2025-09-06 20:42:17+00:00,3,Sunday,7,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,2,2,0,0,0,0,0,0.0,0.0,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @10",0,0,0,0,
229,S8hYsMmtEME,2025-09-07,2025-09-06 20:40:51+00:00,3,Sunday,7,36,9,2025,youtube,Tom's Vlog  in Asia,F&B,False,video,video,0,0,0,0,0,0,0,,,,"THE COFFEE HOUSE, Ho Chi Minh, Vietnam @9",0,0,0,0,
64,tPb_sD4vBis,2025-10-05,2025-10-05 09:53:01+00:00,16,Sunday,7,40,10,2025,youtube,Beanlatteart,F&B,False,video,video,1188,1188,3,0,0,0,3,0.2525,0.0,,Ai ước gì cmt đi nào #robean #beanlatteart #latteart #hoclatteart #barista #vpdalatmilk,0,0,0,0,
63,fzgCErZDoBo,2025-10-16,2025-10-16 08:00:47+00:00,15,Thursday,4,42,10,2025,youtube,BeatVn Official ,F&B,False,video,video,330,330,3,0,0,0,3,0.9091,0.0,,Thử combo 99k hot nhất The Coffee House – tôi fomo còn bạn thì sao?,0,0,0,0,
62,M69bqevEbS8,2025-11-02,2025-11-02 10:27:28+00:00,17,Sunday,7,44,11,2025,youtube,Beanlatteart,F&B,False,video,video,1817,1817,11,0,0,0,11,0.6054,0.0,,VIDEO ĐỘC QUYỀN #robean #beanlatteart #latteart #hoclatteart #barista #vpdalatmilk,0,0,0,0,
61,VnagDE1EkAA,2025-11-07,2025-11-07 12:02:36+00:00,19,Friday,5,45,11,2025,youtube,The Toilets in Vietnam and the World,F&B,False,video,video,177,177,5,0,0,0,5,2.8249,0.0,,(Vietnam toilet 🇻🇳) The Coffee House Hao Nam toilet,0,0,0,0,
60,rieoTTPBQ5w,2026-01-03,2026-01-03 07:28:14+00:00,14,Saturday,6,1,1,2026,youtube,Beanlatteart,F&B,False,video,video,2810,2810,12,2,0,0,14,0.4982,0.0,,Nhảy đi emmmm #robean #beanlatteart #hoclatteart #latteart #vpmilkdalattruemilk,1,0,1,0,0.0
58,BRt3h4UPd2I,2026-01-10,2026-01-10 08:30:10+00:00,15,Saturday,6,2,1,2026,youtube,VTC NEWS,F&B,False,video,video,6744,6744,47,2,0,0,49,0.7266,0.0,,Hết Highlands Coffee lại đến The Coffee House lên tiếng giữa lo ngại liên quan 130 tấn thịt lợn bệnh,2,0,2,0,0.0
59,7iQHtijyTg0,2026-01-10,2026-01-09 22:40:23+00:00,5,Saturday,6,2,1,2026,youtube,all about Vietnam  USA ,F&B,False,video,video,46,46,1,0,0,0,1,2.1739,0.0,,"happy Friday in Nha Trang city VN. gold coast mall, the coffee house 8:30pm 75f",0,0,0,0,
57,HjwOdjw5PKg,2026-02-10,2026-02-10 11:46:22+00:00,18,Tuesday,2,7,2,2026,youtube,The Toilets in Vietnam and the World,F&B,False,video,video,345,345,5,1,0,0,6,1.7391,0.0,,(Vietnam toilet 🇻🇳) The Coffee House Hoan Kiem toilet,1,0,1,0,0.0
56,gZ70K3Tlqck,2026-02-13,2026-02-13 09:49:43+00:00,16,Friday,5,7,2,2026,youtube,Taichinhso News,F&B,False,video,video,751,751,5,1,0,0,6,0.7989,0.0,,"SAU THƯƠNG VỤ 270 TỶ, THE COFFEE HOUSE :THAY DA ĐỔI THỊT""",1,0,1,0,0.0
55,hQtwkW3Iphs,2026-03-31,2026-03-31 08:41:13+00:00,15,Tuesday,2,14,3,2026,youtube,Beanlatteart,F&B,False,video,video,1705,1705,15,0,0,0,15,0.8798,0.0,,Cách vẽ Tulip chi tiết  #robean #beanlatteart #hoclatteart #latteart #baristamilk #lattearttulip,0,0,0,0,
54,St3grYAzB78,2026-04-03,2026-04-03 07:44:41+00:00,14,Friday,5,14,4,2026,youtube,Beanlatteart,F&B,False,video,video,6910,6910,28,0,0,0,28,0.4052,0.0,,BÍ MẬT RẢO NỀN #robean #beanlatteart #barista #latteart #baristamilk,0,0,0,0,
53,DzWv11Uz7Lk,2026-04-05,2026-04-05 04:42:58+00:00,11,Sunday,7,14,4,2026,youtube,Beanlatteart,F&B,False,video,video,1188,1188,7,0,0,0,7,0.5892,0.0,,UNBOXING WPM #robean #beanlatteart #barista #latteart #baristamilk #lophoclatteart,0,0,0,0,
52,i6fx_EeZdvQ,2026-04-09,2026-04-09 12:01:19+00:00,19,Thursday,4,15,4,2026,youtube,Mật Mã Thương Trường,F&B,False,video,video,301,301,5,0,0,0,5,1.6611,0.0,,[SỰ THẬT] Trung Nguyên Từng Đánh Bại Starbucks Tại Việt Nam — Rồi Tự Phá Huỷ Như Thế Nào?,0,0,0,0,
51,FTXDvVPNNnE,2026-04-12,2026-04-12 04:06:17+00:00,11,Sunday,7,15,4,2026,youtube,JB CHANNEL,F&B,False,video,video,596,596,4,0,0,0,4,0.6711,0.0,,UỐNG CAFE TẠI THE COFFEE HOUSE PHAN VĂN TRỊ 🇻🇳 || JB CHANNEL,0,0,0,0,
223,cExs4yUKYOA,2026-05-29,2026-05-29 09:25:52+00:00,16,Friday,5,22,5,2026,youtube,INTAGE VIETNAM,F&B,False,video,video,2,2,0,0,0,0,0,0.0,0.0,,The Coffee House: Từ bước lùi tái cấu trúc đến diện mạo mới đầy hứa hẹn,0,0,0,0,
599,DA80mfJva5o,2026-05-31,2026-05-31 14:07:45+00:00,21,Sunday,7,22,5,2026,youtube,hatsblack official,F&B,False,video,video,9,9,0,0,0,0,0,0.0,0.0,,let's make the coffee house iced milk coffee sachet #coffee #drink,0,0,0,0,
